,E1,E2,REL
73,CHEMICAL,GENE-Y,Downregulator
74,CHEMICAL,GENE-Y,Downregulator
75,CHEMICAL,GENE-N,Downregulator
76,CHEMICAL,GENE-Y,Downregulator
77,CHEMICAL,GENE-Y,Downregulator
78,GENE-N,CHEMICAL,Not
79,GENE-Y,CHEMICAL,Not
80,GENE-Y,CHEMICAL,Not
81,CHEMICAL,GENE-Y,Not
82,GENE-Y,CHEMICAL,Not
83,GENE-Y,GENE-Y,Not
84,GENE-N,GENE-Y,Not
85,GENE-Y,CHEMICAL,Not
86,GENE-Y,GENE-N,Not
87,GENE-Y,GENE-N,Not
88,CHEMICAL,CHEMICAL,Not
89,GENE-Y,CHEMICAL,Not
90,GENE-N,GENE-Y,Not
91,GENE-Y,GENE-N,Not
92,GENE-N,GENE-Y,Not
93,CHEMICAL,CHEMICAL,Not
94,CHEMICAL,GENE-Y,Not
95,CHEMICAL,GENE-N,Not
96,GENE-N,CHEMICAL,Not
97,GENE-Y,GENE-Y,Not
98,GENE-N,GENE-N,Not
99,GENE-Y,GENE-Y,Not
100,GENE-N,GENE-N,Not
101,CHEMICAL,CHEMICAL,Not
102,CHEMICAL,GENE-Y,Not
103,GENE-N,CHEMICAL,Not
104,GENE-Y,GENE-N,Not
105,CHEMICAL,GENE-N,Not
106,CHEMICAL,GENE-Y,Not
107,GENE-N,CHEMICAL,Not
108,GENE-N,CHEMICAL,Not
109,CHEMICAL,GENE-N,Not
110,CHEMICAL,GENE-N,Not
111,CHEMICAL,CHEMICAL,Not
112,CHEMICAL,GENE-Y,Not
113,GENE-N,GENE-Y,Not
114,CHEMICAL,CHEMICAL,Not
115,GENE-Y,CHEMICAL,Not
116,GENE-Y,CHEMICAL,Not
117,CHEMICAL,GENE-N,Not
118,GENE-Y,GENE-Y,Not
119,GENE-Y,CHEMICAL,Not
120,CHEMICAL,CHEMICAL,Not
121,CHEMICAL,CHEMICAL,Not
122,CHEMICAL,CHEMICAL,Not
123,CHEMICAL,CHEMICAL,Not
124,CHEMICAL,CHEMICAL,Not
125,CHEMICAL,CHEMICAL,Not
126,CHEMICAL,CHEMICAL,Not
127,CHEMICAL,GENE-Y,Not
128,CHEMICAL,GENE-Y,Not
129,CHEMICAL,GENE-Y,Not
130,CHEMICAL,CHEMICAL,Not
131,CHEMICAL,GENE-Y,Not
132,CHEMICAL,GENE-Y,Not
133,CHEMICAL,GENE-Y,Not
134,GENE-Y,CHEMICAL,Not
135,GENE-Y,CHEMICAL,Not
136,GENE-Y,GENE-Y,Not
137,GENE-Y,GENE-Y,Not
138,GENE-Y,CHEMICAL,Not
139,GENE-Y,CHEMICAL,Not
140,GENE-Y,GENE-Y,Not
141,GENE-Y,GENE-Y,Not
142,GENE-Y,CHEMICAL,Not
143,GENE-Y,CHEMICAL,Not
144,GENE-Y,GENE-Y,Not
145,GENE-Y,GENE-Y,Not
146,GENE-Y,GENE-Y,Not
147,GENE-Y,GENE-Y,Not
148,GENE-Y,GENE-Y,Not
149,GENE-Y,GENE-Y,Not
150,GENE-Y,GENE-Y,Not
151,GENE-Y,GENE-Y,Not
152,GENE-Y,GENE-Y,Not
153,GENE-Y,GENE-Y,Not
154,GENE-Y,GENE-Y,Not
155,GENE-Y,GENE-Y,Not
156,GENE-Y,GENE-Y,Not
157,GENE-Y,GENE-Y,Not
158,GENE-Y,GENE-N,Not
159,GENE-Y,GENE-Y,Not
160,GENE-Y,GENE-Y,Not
161,GENE-Y,GENE-Y,Not
162,GENE-N,GENE-Y,Not
163,GENE-N,GENE-Y,Not
164,GENE-N,GENE-Y,Not
165,GENE-N,GENE-Y,Not
166,GENE-Y,GENE-Y,Not
167,GENE-Y,GENE-N,Not
168,GENE-Y,GENE-Y,Not
169,GENE-Y,GENE-Y,Not
170,GENE-Y,GENE-Y,Not
171,GENE-Y,GENE-N,Not
172,GENE-Y,GENE-Y,Not
173,GENE-Y,GENE-Y,Not
174,GENE-Y,GENE-Y,Not
175,GENE-Y,GENE-N,Not
176,GENE-Y,GENE-Y,Not
177,GENE-Y,GENE-Y,Not
178,CHEMICAL,GENE-Y,Not
179,CHEMICAL,GENE-Y,Not
180,CHEMICAL,GENE-N,Not
181,GENE-Y,CHEMICAL,Not
182,GENE-Y,GENE-Y,Not
183,GENE-Y,GENE-N,Not
184,GENE-Y,CHEMICAL,Not
185,GENE-Y,GENE-Y,Not
186,GENE-Y,GENE-N,Not
187,GENE-N,CHEMICAL,Not
188,GENE-N,GENE-Y,Not
189,GENE-N,GENE-Y,Not
190,GENE-N,GENE-N,Not
191,GENE-N,GENE-Y,Not
192,GENE-N,GENE-Y,Not
193,GENE-N,GENE-N,Not
194,GENE-N,GENE-N,Not
195,GENE-N,GENE-Y,Not
196,GENE-N,GENE-Y,Not
197,GENE-N,GENE-N,Not
198,GENE-Y,GENE-N,Not
199,GENE-Y,GENE-N,Not
200,GENE-Y,GENE-Y,Not
201,GENE-Y,GENE-N,Not
202,GENE-Y,GENE-N,Not
203,GENE-Y,GENE-N,Not
204,GENE-Y,GENE-Y,Not
205,GENE-Y,GENE-N,Not
206,GENE-N,GENE-N,Not
207,GENE-N,GENE-N,Not
208,GENE-N,GENE-Y,Not
209,GENE-N,GENE-Y,Not
210,GENE-Y,GENE-Y,Not
211,GENE-Y,GENE-Y,Not
212,GENE-Y,GENE-N,Not
213,GENE-Y,GENE-Y,Not
214,GENE-Y,GENE-Y,Not
215,GENE-Y,GENE-N,Not
216,GENE-Y,GENE-Y,Not
217,GENE-Y,GENE-Y,Not
218,GENE-Y,GENE-N,Not
219,GENE-N,GENE-Y,Not
220,GENE-N,GENE-Y,Not
221,GENE-N,GENE-Y,Not
222,GENE-Y,GENE-Y,Not
223,GENE-Y,GENE-Y,Not
224,GENE-Y,GENE-Y,Not
225,GENE-Y,GENE-Y,Not
226,GENE-Y,GENE-Y,Not
227,GENE-Y,GENE-Y,Not
228,GENE-Y,GENE-Y,Not
229,GENE-Y,GENE-Y,Not
230,GENE-Y,GENE-Y,Not
231,GENE-Y,GENE-Y,Not
232,GENE-Y,GENE-Y,Not
233,GENE-Y,GENE-Y,Not
234,GENE-Y,GENE-Y,Not
235,GENE-Y,GENE-Y,Not
236,GENE-Y,GENE-Y,Not
237,GENE-Y,GENE-Y,Not
238,GENE-Y,GENE-Y,Not
239,GENE-Y,GENE-Y,Not
240,GENE-Y,GENE-Y,Not
241,GENE-Y,GENE-Y,Not
242,GENE-Y,GENE-Y,Not
243,GENE-Y,GENE-Y,Not
244,GENE-Y,GENE-Y,Not
245,GENE-Y,GENE-Y,Not
246,CHEMICAL,CHEMICAL,Not
247,CHEMICAL,GENE-Y,Not
248,CHEMICAL,GENE-Y,Not
249,CHEMICAL,GENE-Y,Not
250,CHEMICAL,CHEMICAL,Not
251,CHEMICAL,GENE-Y,Not
252,CHEMICAL,GENE-Y,Not
253,CHEMICAL,GENE-Y,Not
254,GENE-Y,CHEMICAL,Not
255,GENE-Y,CHEMICAL,Not
256,GENE-Y,GENE-Y,Not
257,GENE-Y,GENE-Y,Not
258,GENE-Y,CHEMICAL,Not
259,GENE-Y,CHEMICAL,Not
260,GENE-Y,GENE-Y,Not
261,GENE-Y,GENE-Y,Not
262,GENE-Y,CHEMICAL,Not
263,GENE-Y,CHEMICAL,Not
264,GENE-Y,GENE-Y,Not
265,GENE-Y,GENE-Y,Not
266,CHEMICAL,GENE-Y,Antagonist
267,CHEMICAL,GENE-Y,Antagonist
268,CHEMICAL,CHEMICAL,Not
269,CHEMICAL,CHEMICAL,Not
270,GENE-Y,CHEMICAL,Not
271,GENE-Y,CHEMICAL,Not
272,CHEMICAL,CHEMICAL,Not
273,CHEMICAL,CHEMICAL,Not
274,CHEMICAL,CHEMICAL,Not
275,CHEMICAL,CHEMICAL,Not
276,CHEMICAL,CHEMICAL,Not
277,CHEMICAL,CHEMICAL,Not
278,CHEMICAL,GENE-N,Downregulator
279,CHEMICAL,GENE-N,Downregulator
280,CHEMICAL,CHEMICAL,Not
281,CHEMICAL,CHEMICAL,Not
282,GENE-N,CHEMICAL,Not
283,GENE-N,CHEMICAL,Not
284,CHEMICAL,GENE-Y,Antagonist
285,CHEMICAL,GENE-Y,Antagonist
286,CHEMICAL,GENE-Y,Agonist
287,CHEMICAL,CHEMICAL,Not
288,CHEMICAL,CHEMICAL,Not
289,CHEMICAL,CHEMICAL,Not
290,CHEMICAL,CHEMICAL,Not
291,CHEMICAL,CHEMICAL,Not
292,CHEMICAL,CHEMICAL,Not
293,GENE-Y,CHEMICAL,Not
294,GENE-Y,CHEMICAL,Not
295,GENE-Y,CHEMICAL,Not
296,CHEMICAL,CHEMICAL,Not
297,CHEMICAL,CHEMICAL,Not
298,CHEMICAL,CHEMICAL,Not
299,CHEMICAL,CHEMICAL,Not
300,CHEMICAL,CHEMICAL,Not
301,CHEMICAL,CHEMICAL,Not
302,CHEMICAL,GENE-Y,Antagonist
303,CHEMICAL,GENE-Y,Antagonist
304,CHEMICAL,CHEMICAL,Not
305,CHEMICAL,CHEMICAL,Not
306,GENE-Y,CHEMICAL,Not
307,GENE-Y,CHEMICAL,Not
308,GENE-Y,GENE-Y,Not
309,GENE-Y,GENE-Y,Not
310,GENE-Y,GENE-Y,Not
311,GENE-Y,GENE-Y,Not
312,GENE-Y,GENE-Y,Not
313,GENE-Y,GENE-Y,Not
314,GENE-Y,GENE-Y,Not
315,GENE-Y,GENE-Y,Not
316,CHEMICAL,GENE-Y,Upregulator
317,CHEMICAL,GENE-Y,Not
318,GENE-Y,CHEMICAL,Not
319,GENE-Y,GENE-Y,Not
320,GENE-Y,CHEMICAL,Not
321,GENE-Y,GENE-Y,Not
322,GENE-Y,GENE-N,Not
323,GENE-N,GENE-Y,Not
324,GENE-Y,GENE-N,Not
325,GENE-N,GENE-Y,Not
326,CHEMICAL,GENE-Y,Downregulator
327,CHEMICAL,GENE-Y,Upregulator
328,CHEMICAL,CHEMICAL,Not
329,CHEMICAL,CHEMICAL,Not
330,CHEMICAL,GENE-Y,Not
331,CHEMICAL,GENE-Y,Not
332,GENE-Y,CHEMICAL,Not
333,GENE-Y,CHEMICAL,Not
334,GENE-Y,GENE-Y,Not
335,GENE-Y,CHEMICAL,Not
336,GENE-Y,CHEMICAL,Not
337,GENE-Y,GENE-Y,Not
338,CHEMICAL,GENE-Y,Not
339,CHEMICAL,GENE-Y,Not
340,GENE-Y,CHEMICAL,Not
341,GENE-Y,GENE-Y,Not
342,GENE-Y,CHEMICAL,Not
343,GENE-Y,GENE-Y,Not
344,CHEMICAL,GENE-Y,Upregulator
345,CHEMICAL,GENE-Y,Upregulator
346,GENE-Y,CHEMICAL,Not
347,GENE-Y,GENE-Y,Not
348,GENE-Y,CHEMICAL,Not
349,GENE-Y,GENE-Y,Not
350,CHEMICAL,GENE-Y,Not
351,CHEMICAL,GENE-N,Not
352,GENE-Y,CHEMICAL,Not
353,GENE-Y,GENE-N,Not
354,GENE-N,CHEMICAL,Not
355,GENE-N,GENE-Y,Not
356,GENE-Y,GENE-Y,Not
357,GENE-Y,GENE-Y,Not
358,GENE-Y,GENE-Y,Not
359,GENE-Y,GENE-Y,Not
360,GENE-Y,GENE-Y,Not
361,GENE-Y,GENE-Y,Not
362,GENE-Y,GENE-Y,Not
363,GENE-Y,GENE-Y,Not
364,GENE-Y,GENE-Y,Not
365,GENE-Y,GENE-Y,Not
366,GENE-Y,GENE-Y,Not
367,GENE-Y,GENE-Y,Not
368,GENE-Y,GENE-Y,Not
369,GENE-Y,GENE-Y,Not
370,GENE-Y,GENE-Y,Not
371,GENE-Y,GENE-Y,Not
372,GENE-Y,GENE-Y,Not
373,GENE-Y,GENE-Y,Not
374,GENE-Y,GENE-Y,Not
375,GENE-Y,GENE-Y,Not
376,GENE-Y,GENE-Y,Not
377,GENE-Y,GENE-Y,Not
378,GENE-Y,GENE-Y,Not
379,GENE-Y,GENE-Y,Not
380,GENE-Y,GENE-Y,Not
381,GENE-Y,GENE-Y,Not
382,GENE-Y,GENE-Y,Not
383,GENE-Y,GENE-Y,Not
384,GENE-Y,GENE-Y,Not
385,GENE-Y,GENE-Y,Not
386,GENE-Y,GENE-Y,Not
387,GENE-Y,GENE-Y,Not
388,CHEMICAL,GENE-Y,Not
389,CHEMICAL,GENE-Y,Not
390,GENE-Y,CHEMICAL,Not
391,GENE-Y,GENE-Y,Not
392,GENE-Y,CHEMICAL,Not
393,GENE-Y,GENE-Y,Not
394,GENE-Y,GENE-Y,Not
395,GENE-Y,GENE-Y,Not
396,CHEMICAL,GENE-Y,Not
397,GENE-Y,CHEMICAL,Not
398,CHEMICAL,GENE-Y,Substrate
399,CHEMICAL,GENE-Y,Substrate
400,CHEMICAL,CHEMICAL,Not
401,CHEMICAL,CHEMICAL,Not
402,CHEMICAL,CHEMICAL,Not
403,CHEMICAL,GENE-Y,Not
404,CHEMICAL,CHEMICAL,Not
405,CHEMICAL,CHEMICAL,Not
406,CHEMICAL,CHEMICAL,Not
407,CHEMICAL,CHEMICAL,Not
408,CHEMICAL,CHEMICAL,Not
409,CHEMICAL,CHEMICAL,Not
410,CHEMICAL,CHEMICAL,Not
411,CHEMICAL,CHEMICAL,Not
412,CHEMICAL,CHEMICAL,Not
413,CHEMICAL,GENE-Y,Not
414,GENE-Y,CHEMICAL,Not
415,GENE-Y,CHEMICAL,Not
416,GENE-Y,CHEMICAL,Not
417,GENE-Y,CHEMICAL,Not
418,CHEMICAL,CHEMICAL,Not
419,CHEMICAL,GENE-Y,Not
420,CHEMICAL,CHEMICAL,Not
421,CHEMICAL,GENE-Y,Not
422,GENE-Y,CHEMICAL,Not
423,GENE-Y,CHEMICAL,Not
424,CHEMICAL,GENE-Y,Not
425,CHEMICAL,CHEMICAL,Not
426,CHEMICAL,CHEMICAL,Not
427,CHEMICAL,CHEMICAL,Not
428,CHEMICAL,CHEMICAL,Not
429,CHEMICAL,GENE-Y,Not
430,CHEMICAL,CHEMICAL,Not
431,CHEMICAL,CHEMICAL,Not
432,CHEMICAL,GENE-Y,Not
433,GENE-Y,CHEMICAL,Not
434,GENE-Y,CHEMICAL,Not
435,GENE-Y,CHEMICAL,Not
436,CHEMICAL,GENE-Y,Not
437,GENE-Y,CHEMICAL,Not
438,CHEMICAL,GENE-Y,Downregulator
439,CHEMICAL,GENE-Y,Downregulator
440,CHEMICAL,GENE-Y,Downregulator
441,CHEMICAL,GENE-Y,Downregulator
442,CHEMICAL,GENE-Y,Downregulator
443,CHEMICAL,GENE-Y,Downregulator
444,CHEMICAL,GENE-Y,Substrate
445,CHEMICAL,CHEMICAL,Not
446,CHEMICAL,CHEMICAL,Not
447,CHEMICAL,CHEMICAL,Not
448,CHEMICAL,CHEMICAL,Not
449,CHEMICAL,CHEMICAL,Not
450,CHEMICAL,CHEMICAL,Not
451,CHEMICAL,CHEMICAL,Not
452,CHEMICAL,CHEMICAL,Not
453,CHEMICAL,CHEMICAL,Not
454,CHEMICAL,CHEMICAL,Not
455,CHEMICAL,CHEMICAL,Not
456,CHEMICAL,CHEMICAL,Not
457,CHEMICAL,GENE-Y,Not
458,GENE-Y,CHEMICAL,Not
459,GENE-Y,CHEMICAL,Not
460,GENE-Y,CHEMICAL,Not
461,GENE-Y,CHEMICAL,Not
462,GENE-Y,GENE-Y,Not
463,GENE-Y,CHEMICAL,Not
464,GENE-Y,CHEMICAL,Not
465,GENE-Y,CHEMICAL,Not
466,GENE-Y,CHEMICAL,Not
467,GENE-Y,GENE-Y,Not
468,CHEMICAL,CHEMICAL,Not
469,CHEMICAL,CHEMICAL,Not
470,CHEMICAL,CHEMICAL,Not
471,CHEMICAL,CHEMICAL,Not
472,CHEMICAL,CHEMICAL,Not
473,CHEMICAL,CHEMICAL,Not
474,CHEMICAL,CHEMICAL,Not
475,CHEMICAL,CHEMICAL,Not
476,CHEMICAL,CHEMICAL,Not
477,CHEMICAL,CHEMICAL,Not
478,CHEMICAL,CHEMICAL,Not
479,CHEMICAL,CHEMICAL,Not
480,CHEMICAL,CHEMICAL,Not
481,CHEMICAL,CHEMICAL,Not
482,CHEMICAL,CHEMICAL,Not
483,CHEMICAL,CHEMICAL,Not
484,CHEMICAL,CHEMICAL,Not
485,CHEMICAL,CHEMICAL,Not
486,CHEMICAL,CHEMICAL,Not
487,CHEMICAL,CHEMICAL,Not
488,CHEMICAL,CHEMICAL,Not
489,CHEMICAL,CHEMICAL,Not
490,CHEMICAL,CHEMICAL,Not
491,CHEMICAL,CHEMICAL,Not
492,CHEMICAL,CHEMICAL,Not
493,CHEMICAL,CHEMICAL,Not
494,CHEMICAL,CHEMICAL,Not
495,CHEMICAL,CHEMICAL,Not
496,CHEMICAL,CHEMICAL,Not
497,CHEMICAL,CHEMICAL,Not
498,CHEMICAL,CHEMICAL,Not
499,CHEMICAL,CHEMICAL,Not
500,CHEMICAL,CHEMICAL,Not
501,CHEMICAL,CHEMICAL,Not
502,CHEMICAL,CHEMICAL,Not
503,CHEMICAL,CHEMICAL,Not
504,CHEMICAL,CHEMICAL,Not
505,CHEMICAL,CHEMICAL,Not
506,CHEMICAL,CHEMICAL,Not
507,CHEMICAL,CHEMICAL,Not
508,CHEMICAL,CHEMICAL,Not
509,CHEMICAL,CHEMICAL,Not
510,CHEMICAL,CHEMICAL,Not
511,CHEMICAL,CHEMICAL,Not
512,CHEMICAL,CHEMICAL,Not
513,CHEMICAL,CHEMICAL,Not
514,CHEMICAL,CHEMICAL,Not
515,CHEMICAL,CHEMICAL,Not
516,CHEMICAL,CHEMICAL,Not
517,CHEMICAL,CHEMICAL,Not
518,CHEMICAL,CHEMICAL,Not
519,CHEMICAL,CHEMICAL,Not
520,CHEMICAL,CHEMICAL,Not
521,CHEMICAL,CHEMICAL,Not
522,CHEMICAL,CHEMICAL,Not
523,CHEMICAL,CHEMICAL,Not
524,CHEMICAL,CHEMICAL,Not
525,CHEMICAL,CHEMICAL,Not
526,CHEMICAL,CHEMICAL,Not
527,CHEMICAL,CHEMICAL,Not
528,CHEMICAL,CHEMICAL,Not
529,CHEMICAL,CHEMICAL,Not
530,CHEMICAL,CHEMICAL,Not
531,CHEMICAL,CHEMICAL,Not
532,CHEMICAL,CHEMICAL,Not
533,CHEMICAL,CHEMICAL,Not
534,CHEMICAL,CHEMICAL,Not
535,CHEMICAL,CHEMICAL,Not
536,CHEMICAL,CHEMICAL,Not
537,CHEMICAL,CHEMICAL,Not
538,CHEMICAL,CHEMICAL,Not
539,CHEMICAL,CHEMICAL,Not
540,CHEMICAL,CHEMICAL,Not
541,CHEMICAL,CHEMICAL,Not
542,CHEMICAL,CHEMICAL,Not
543,CHEMICAL,CHEMICAL,Not
544,CHEMICAL,CHEMICAL,Not
545,CHEMICAL,CHEMICAL,Not
546,CHEMICAL,CHEMICAL,Not
547,CHEMICAL,CHEMICAL,Not
548,CHEMICAL,CHEMICAL,Not
549,CHEMICAL,CHEMICAL,Not
550,CHEMICAL,CHEMICAL,Not
551,CHEMICAL,CHEMICAL,Not
552,CHEMICAL,CHEMICAL,Not
553,CHEMICAL,CHEMICAL,Not
554,CHEMICAL,CHEMICAL,Not
555,CHEMICAL,CHEMICAL,Not
556,CHEMICAL,GENE-N,Upregulator
557,CHEMICAL,GENE-Y,Upregulator
558,CHEMICAL,GENE-N,Upregulator
559,CHEMICAL,GENE-Y,Upregulator
560,CHEMICAL,CHEMICAL,Not
561,CHEMICAL,CHEMICAL,Not
562,CHEMICAL,CHEMICAL,Not
563,CHEMICAL,GENE-N,Not
564,CHEMICAL,GENE-Y,Not
565,CHEMICAL,CHEMICAL,Not
566,CHEMICAL,CHEMICAL,Not
567,CHEMICAL,CHEMICAL,Not
568,CHEMICAL,CHEMICAL,Not
569,CHEMICAL,CHEMICAL,Not
570,CHEMICAL,CHEMICAL,Not
571,CHEMICAL,GENE-N,Not
572,CHEMICAL,GENE-Y,Not
573,CHEMICAL,CHEMICAL,Not
574,CHEMICAL,CHEMICAL,Not
575,CHEMICAL,CHEMICAL,Not
576,GENE-N,CHEMICAL,Not
577,GENE-N,CHEMICAL,Not
578,GENE-N,CHEMICAL,Not
579,GENE-N,CHEMICAL,Not
580,GENE-N,GENE-Y,Not
581,GENE-Y,CHEMICAL,Not
582,GENE-Y,CHEMICAL,Not
583,GENE-Y,CHEMICAL,Not
584,GENE-Y,CHEMICAL,Not
585,GENE-Y,GENE-N,Not
586,CHEMICAL,GENE-N,Downregulator
587,CHEMICAL,GENE-Y,Upregulator
588,CHEMICAL,GENE-N,Downregulator
589,CHEMICAL,GENE-Y,Upregulator
590,CHEMICAL,GENE-Y,Not
591,CHEMICAL,CHEMICAL,Not
592,CHEMICAL,CHEMICAL,Not
593,CHEMICAL,CHEMICAL,Not
594,CHEMICAL,CHEMICAL,Not
595,CHEMICAL,CHEMICAL,Not
596,GENE-Y,GENE-N,Not
597,CHEMICAL,CHEMICAL,Not
598,CHEMICAL,CHEMICAL,Not
599,CHEMICAL,CHEMICAL,Not
600,CHEMICAL,GENE-Y,Not
601,CHEMICAL,GENE-N,Not
602,CHEMICAL,CHEMICAL,Not
603,CHEMICAL,CHEMICAL,Not
604,CHEMICAL,CHEMICAL,Not
605,CHEMICAL,CHEMICAL,Not
606,GENE-N,CHEMICAL,Not
607,GENE-Y,CHEMICAL,Not
608,GENE-Y,CHEMICAL,Not
609,CHEMICAL,CHEMICAL,Not
610,CHEMICAL,CHEMICAL,Not
611,CHEMICAL,CHEMICAL,Not
612,GENE-Y,CHEMICAL,Not
613,CHEMICAL,CHEMICAL,Not
614,GENE-Y,CHEMICAL,Not
615,CHEMICAL,CHEMICAL,Not
616,GENE-N,CHEMICAL,Not
617,CHEMICAL,CHEMICAL,Not
618,CHEMICAL,CHEMICAL,Not
619,CHEMICAL,GENE-N,Not
620,GENE-N,CHEMICAL,Not
621,GENE-N,CHEMICAL,Not
622,GENE-Y,CHEMICAL,Not
623,CHEMICAL,CHEMICAL,Not
624,CHEMICAL,CHEMICAL,Not
625,GENE-Y,CHEMICAL,Not
626,CHEMICAL,CHEMICAL,Not
627,CHEMICAL,CHEMICAL,Not
628,CHEMICAL,CHEMICAL,Not
629,CHEMICAL,GENE-Y,Not
630,CHEMICAL,CHEMICAL,Not
631,GENE-N,CHEMICAL,Not
632,CHEMICAL,GENE-N,Not
633,GENE-N,CHEMICAL,Not
634,CHEMICAL,GENE-N,Not
635,CHEMICAL,CHEMICAL,Not
636,CHEMICAL,CHEMICAL,Not
637,CHEMICAL,GENE-N,Not
638,CHEMICAL,CHEMICAL,Not
639,CHEMICAL,GENE-N,Not
640,GENE-N,CHEMICAL,Not
641,GENE-N,CHEMICAL,Not
642,GENE-Y,CHEMICAL,Not
643,GENE-N,CHEMICAL,Not
644,CHEMICAL,CHEMICAL,Not
645,GENE-Y,CHEMICAL,Not
646,GENE-N,CHEMICAL,Not
647,CHEMICAL,CHEMICAL,Not
648,CHEMICAL,GENE-Y,Not
649,CHEMICAL,GENE-Y,Not
650,CHEMICAL,CHEMICAL,Not
651,GENE-Y,GENE-Y,Not
652,GENE-Y,GENE-N,Not
653,GENE-Y,GENE-Y,Not
654,GENE-N,GENE-Y,Not
655,GENE-Y,CHEMICAL,Not
656,CHEMICAL,GENE-Y,Not
657,GENE-Y,CHEMICAL,Not
658,CHEMICAL,GENE-Y,Not
659,CHEMICAL,GENE-Y,Not
660,GENE-Y,CHEMICAL,Not
661,GENE-Y,CHEMICAL,Not
662,GENE-Y,GENE-N,Not
663,GENE-Y,GENE-Y,Not
664,GENE-Y,GENE-Y,Not
665,GENE-Y,CHEMICAL,Not
666,CHEMICAL,GENE-Y,Not
667,CHEMICAL,CHEMICAL,Not
668,GENE-Y,CHEMICAL,Not
669,GENE-N,GENE-Y,Not
670,GENE-N,CHEMICAL,Not
671,GENE-Y,CHEMICAL,Not
672,GENE-Y,GENE-N,Not
673,CHEMICAL,GENE-Y,Not
674,CHEMICAL,GENE-Y,Not
675,GENE-Y,CHEMICAL,Not
676,CHEMICAL,GENE-N,Not
677,GENE-Y,GENE-Y,Not
678,CHEMICAL,GENE-Y,Not
679,CHEMICAL,GENE-Y,Not
680,GENE-Y,CHEMICAL,Not
681,GENE-Y,CHEMICAL,Not
682,CHEMICAL,CHEMICAL,Not
683,GENE-Y,GENE-N,Not
684,GENE-Y,CHEMICAL,Not
685,CHEMICAL,GENE-Y,Not
686,GENE-Y,GENE-Y,Not
687,GENE-Y,GENE-Y,Not
688,GENE-Y,CHEMICAL,Not
689,GENE-Y,GENE-Y,Not
690,GENE-Y,GENE-Y,Not
691,CHEMICAL,CHEMICAL,Not
692,CHEMICAL,GENE-Y,Downregulator
693,CHEMICAL,GENE-Y,Downregulator
694,CHEMICAL,GENE-Y,Not
